State/Territory,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018
,,,,,Preliminary
Alabama,"531,099","531,305","525,966","511,653","499,631"
Alaska,"51,003","53,617","52,480","53,578","53,653"
American Samoa,--,--,--,--,--
Arizona,"644,173","647,426","641,045","638,136","627,716"
Arkansas,"327,469","320,921","317,039","314,201","311,041"
California,"3,280,733","3,271,744","3,251,959","3,215,762","3,177,216"
Colorado,"372,675","378,229","376,744","368,668","367,376"
Connecticut,"283,110","288,268","288,156","283,198","278,108"
Delaware,"94,943","97,995","98,528","98,977","97,980"
District of Columbia,"50,809","52,668","53,886","52,711","56,104"
Florida,"1,651,221","1,675,730","1,704,153","1,715,901","1,752,674"
Georgia,"1,236,304","1,236,154","1,224,627","1,211,207","1,190,338"
Guam,"16,668","18,043","18,485","17,792","17,241"
Hawaii,"113,981","109,590","106,993","103,947","102,751"
Idaho,"158,274","156,992","157,149","155,249","151,937"
Illinois,"1,124,756","1,108,555","1,084,030","1,059,266","1,044,213"
Indiana,"774,693","768,262","754,995","743,331","734,633"
Iowa,"383,565","381,699","381,877","377,927","373,034"
Kansas,"346,298","345,398","342,540","338,077","333,287"
Kentucky,"529,401","525,266","528,663","525,319","515,845"
Louisiana,"554,244","548,567","548,136","550,544","548,065"
Maine,"99,412","100,272","99,422","97,730","96,195"
Maryland,"423,560","434,525","446,283","445,433","443,270"
Massachusetts,"515,506","528,262","531,647","529,822","527,937"
Michigan,"860,197","842,734","823,888","801,891","793,469"
Minnesota,"610,476","613,987","616,257","613,846","610,081"
Mississippi,"389,497","384,628","381,642","371,355","361,804"
Missouri,"604,484","603,693","598,665","586,909","578,290"
Montana,"83,248","81,872","82,747","82,175","80,856"
Nebraska,"242,273","241,037","242,254","242,852","244,089"
Nevada,"212,395","216,392","222,218","224,528","227,933"
New Hampshire,"91,812","88,737","85,946","83,276","80,656"
New Jersey,"688,988","695,703","695,986","694,111","689,594"
New Mexico,"215,567","216,778","219,437","217,324","213,970"
New York,"1,697,757","1,698,511","1,679,716","1,663,296","1,680,432"
North Carolina,"889,937","903,946","892,867","866,759","851,197"
North Dakota,"89,194","90,355","91,374","91,950","93,071"
Ohio,"1,051,279","1,019,834","1,013,673","994,189","984,750"
Oklahoma,"439,386","440,445","447,425","442,478","440,851"
Oregon,"288,242","294,408","303,164","297,120","293,894"
Pennsylvania,"1,040,557","1,034,974","1,029,008","1,021,178","1,017,503"
Puerto Rico,"325,320","297,247","276,273","244,863","192,610"
Rhode Island,"76,867","76,254","77,882","77,399","76,331"
South Carolina,"474,023","483,026","478,436","472,538","472,192"
South Dakota,"107,749","107,352","108,324","107,494","106,446"
Tennessee,"649,935","676,703","671,671","656,161","653,668"
Texas,"3,322,512","3,379,271","3,377,166","3,348,977","3,342,292"
Utah,"330,223","334,253","334,438","335,493","333,362"
Vermont,"50,500","49,159","48,450","47,101","46,481"
Virginia,"708,105","702,670","702,389","694,964","702,413"
Virgin Islands,"13,112","12,050","11,261","9,588","5,001"
Washington,"522,871","518,077","521,146","523,214","517,572"
West Virginia,"192,152","194,293","193,201","191,544","186,269"
Wisconsin,"550,476","541,767","527,339","510,633","500,434"
Wyoming,"52,885","51,854","50,876","49,905","48,141"
Commonwealth of Northern Mariana Islands,--,--,--,--,--
Dept. of Defense,"23,723","23,994","21,507","18,155","18,193"
DOD Marines,315,324,320,294,331
DOD Navy,"2,419","2,493","2,787","2,710","2,934"
DOD Germany,--,--,--,--,--
  TOTAL,"30,459,642","30,495,487","30,361,428","29,991,694","29,744,092"
