State,2015,2017
Alabama,4853160,4875120
Alaska,737547,739786
Arizona,6833596,7048876
Arkansas,2978407,3002997
California,38953142,39399349
Colorado,5452107,5615902
Connecticut,3587509,3573880
Delaware,941413,957078
District of Columbia,675254,695691
Florida,20224249,20976812
Georgia,10181111,10413055
Hawaii,1422484,1424203
Idaho,1651523,1718904
Illinois,12864342,12786196
Indiana,6608296,6660082
Iowa,3121460,3143637
Kansas,2909502,2910689
Kentucky,4425999,4453874
Louisiana,4664851,4670818
Maine,1328484,1335063
Maryland,5986717,6024891
Massachusetts,6795891,6863246
Michigan,9932573,9976447
Minnesota,5482503,5568155
Mississippi,2988693,2989663
Missouri,6071745,6108612
Montana,1030503,1053090
Nebraska,1891507,1917575
Nevada,2868666,2972405
New Hampshire,1336294,1349767
New Jersey,8870869,8888543
New Mexico,2090211,2093395
New York,19661411,19590719
North Carolina,10033079,10270800
North Dakota,754022,755176
Ohio,11617850,11664129
Oklahoma,3909831,3932640
Oregon,4016918,4146592
Pennsylvania,12785759,12790447
Puerto Rico,3473166,3325001
Rhode Island,1056173,1056486
South Carolina,4892253,5021219
South Dakota,853933,873286
Tennessee,6590808,6708794
Texas,27486814,28322717
Utah,2982497,3103118
Vermont,625197,624525
Virginia,8362907,8465207
Washington,7163543,7425432
West Virginia,1841996,1817048
Wisconsin,5761406,5792051
Wyoming,585668,578934
