State,Percentage_2015,Percentage_2017
Alabama,10.9,10.5
Alaska,7.3,7.2
Arizona,9.5,9.1
Arkansas,10.8,10.5
California,8.4,8.2
Colorado,6.9,6.6
Connecticut,8.0,7.9
Delaware,10.4,10.3
District of Columbia,7.8,7.6
Florida,8.3,8.2
Georgia,12.1,11.6
Hawaii,7.7,7.3
Idaho,9.5,9.0
Illinois,8.6,8.3
Indiana,11.6,11.2
Iowa,12.2,12.0
Kansas,11.9,11.6
Kentucky,11.9,11.8
Louisiana,11.8,11.8
Maine,7.5,7.3
Maryland,7.3,7.4
Massachusetts,7.8,7.7
Michigan,8.5,8.0
Minnesota,11.2,11.0
Mississippi,12.9,12.4
Missouri,9.9,9.6
Montana,7.9,7.8
Nebraska,12.7,12.7
Nevada,7.5,7.6
New Hampshire,6.6,6.2
New Jersey,7.8,7.8
New Mexico,10.4,10.4
New York,8.6,8.5
North Carolina,9.0,8.4
North Dakota,12.0,12.2
Ohio,8.8,8.5
Oklahoma,11.3,11.3
Oregon,7.3,7.2
Pennsylvania,8.1,8.0
Puerto Rico,8.6,7.4
Rhode Island,7.2,7.3
South Carolina,9.9,9.4
South Dakota,12.6,12.3
Tennessee,10.3,9.8
Texas,12.3,11.8
Utah,11.2,10.8
Vermont,7.9,7.5
Virginia,8.4,8.2
Washington,7.2,7.0
West Virginia,10.5,10.5
Wisconsin,9.4,8.8
Wyoming,8.9,8.6
